('<BOS>',)的频次-----86924
('迹象',)的频次-----45
('１·８０日元',)的频次-----1
('１４２·３３日元',)的频次-----1
('比价',)的频次-----42
('收盘',)的频次-----41
('１６０００点',)的频次-----2
('１５９４４·３６点',)的频次-----1
('４１７·５３点',)的频次-----1
('７月中',)的频次-----1
('外汇',)的频次-----118
('券',)的频次-----7
('韩国财政经济部',)的频次-----4
('中东',)的频次-----247
('新加坡贸易发展局',)的频次-----1
('１５·６％',)的频次-----2
('３９·８亿新元',)的频次-----1
('２４亿美元',)的频次-----2
('出口额',)的频次-----17
('９％',)的频次-----21
('罗德里格斯',)的频次-----3
('匿名',)的频次-----3
('国会',)的频次-----118
('进口商',)的频次-----9
('国家税务总局',)的频次-----16
('革职',)的频次-----2
('串通一气',)的频次-----2
('黑社会',)的频次-----4
('团伙',)的频次-----37
('勾结',)的频次-----19
('逃税',)的频次-----17
('委内瑞拉社会保险协会',)的频次-----1
('２．５倍',)的频次-----2
('保守',)的频次-----19
('６亿多美元',)的频次-----1
('星期',)的频次-----6
('惩处',)的频次-----18
('接任',)的频次-----11
('违犯',)的频次-----7
('国民警卫队',)的频次-----3
('情报',)的频次-----55
('挽回',)的频次-----36
('税务总局',)的频次-----3
('瓜依拉海关',)的频次-----1
('大萨瓦纳区',)的频次-----1
('封存',)的频次-----14
('皮衣',)的频次-----3
('５０００万玻利瓦尔',)的频次-----1
('目的地',)的频次-----10
('仓库',)的频次-----31
('３亿玻利瓦尔',)的频次-----1
('米兰达州',)的频次-----1
('亚瓜拉工业区',)的频次-----1
('查获',)的频次-----75
('卢内尔公司',)的频次-----1
('３５家',)的频次-----3
('入关',)的频次-----7
('２０亿玻利瓦尔',)的频次-----1
('委内瑞拉国家税务总局',)的频次-----1
('３．５亿玻利瓦尔',)的频次-----1
('６２万美元',)的频次-----1
('欧洲央行',)的频次-----45
('杜伊森贝赫',)的频次-----20
('数十年',)的频次-----18
('调节器',)的频次-----1
('币值',)的频次-----13
('３项',)的频次-----17
('永恒',)的频次-----20
('争执',)的频次-----12
('动议',)的频次-----8
('招致',)的频次-----6
('央行',)的频次-----50
('欧元',)的频次-----269
('流通领域',)的频次-----14
('旅游者',)的频次-----16
('出手',)的频次-----12
('１００亿欧元',)的频次-----1
('１０００亿欧元',)的频次-----1
('８０亿欧元',)的频次-----1
('德国联邦银行',)的频次-----15
('法兰西银行',)的频次-----6
('２０亿欧元',)的频次-----2
('流通量',)的频次-----4
('２０００亿',)的频次-----1
('联邦银行',)的频次-----3
('换算',)的频次-----5
('９０亿',)的频次-----1
('７０亿',)的频次-----3
('公式',)的频次-----10
('支票',)的频次-----9
('准备金',)的频次-----23
('５００亿欧元',)的频次-----1
('４０亿埃居',)的频次-----1
('８．８％',)的频次-----2
('０．１５％',)的频次-----1
('卢森堡',)的频次-----37
('５０亿埃居',)的频次-----1
('２４％',)的频次-----7
('英格兰银行',)的频次-----11
('意大利银行',)的频次-----3
('两星期',)的频次-----1
('行之有效',)的频次-----21
('贴现率',)的频次-----16
('代之以',)的频次-----6
('威望',)的频次-----16
('２３次',)的频次-----2
('基于',)的频次-----62
('胀',)的频次-----45
('获知',)的频次-----2
('欧央行',)的频次-----1
('透明性',)的频次-----2
('本位',)的频次-----4
('干扰',)的频次-----69
('欧洲议会',)的频次-----6
('法国国民议会',)的频次-----7
('决议',)的频次-----193
('法国议会',)的频次-----3
('质询',)的频次-----6
('牵制',)的频次-----12
('欧洲央行理事会',)的频次-----2
('权限',)的频次-----18
('两三个星期',)的频次-----1
('法兰克福',)的频次-----62
('一两天',)的频次-----7
('分析家',)的频次-----30
('欧洲央行委员会',)的频次-----6
('议员',)的频次-----210
('美联储',)的频次-----15
('理事会',)的频次-----20
('中央银行委员会',)的频次-----1
('８∶９',)的频次-----1
('公开市场委员会',)的频次-----1
('联邦储备委员会',)的频次-----3
('欧盟委员会',)的频次-----57
('委员会',)的频次-----83
('欧盟财长委员会',)的频次-----1
('海麦莱宁',)的频次-----1
('金融界',)的频次-----27
('新生事物',)的频次-----4
('欧洲中央银行',)的频次-----35
('框架',)的频次-----57
('今年一季度',)的频次-----15
('１０·５％',)的频次-----1
('１９９８年一季度',)的频次-----3
('２０００亿铢',)的频次-----1
('泰国海关厅',)的频次-----1
('２２５７·８２亿铢',)的频次-----1
('４０铢',)的频次-----4
('１７３７·２７亿铢',)的频次-----1
('２２家',)的频次-----3
('６·７２３５万亿韩元',)的频次-----1
('１２５１比１',)的频次-----1
('马国家经济行动理事会',)的频次-----1
('经济基础',)的频次-----23
('入不敷出',)的频次-----6
('税务局',)的频次-----5
('申报',)的频次-----66
('国境',)的频次-----3
('铜丝',)的频次-----3
('ＩＢＭ公司',)的频次-----6
('０·１８微米',)的频次-----1
('英特尔',)的频次-----28
('英特尔公司',)的频次-----22
('风骚',)的频次-----14
('１０００兆赫兹',)的频次-----1
('美国电脑网络公司',)的频次-----1
('孤',)的频次-----18
('３３３兆赫兹',)的频次-----1
('３６６兆赫兹',)的频次-----1
('国际商用机器公司',)的频次-----6
('今年夏天',)的频次-----4
('晶体管',)的频次-----7
('恒星',)的频次-----32
('重元素',)的频次-----1
('元素',)的频次-----20
('氦',)的频次-----4
('假想',)的频次-----1
('亮度',)的频次-----2
('穆罕默德·海达里—马莱里',)的频次-----1
('８１',)的频次-----3
('家族',)的频次-----34
('星系',)的频次-----24
('欧洲航天局',)的频次-----12
('哈勃',)的频次-----6
('２０万光年',)的频次-----1
('麦哲伦',)的频次-----1
('１９９７—２００６年',)的频次-----1
('１３亿',)的频次-----2
('生活费',)的频次-----23
('密不可分',)的频次-----10
('去年１０月１６日',)的频次-----1
('戈迪默',)的频次-----2
('联合国总部',)的频次-----5
('电影剧本',)的频次-----2
('诺贝尔',)的频次-----23
('终生',)的频次-----24
('使者',)的频次-----9
('格洛弗',)的频次-----1
('约翰内斯堡',)的频次-----36
('李新烽',)的频次-----18
('获得者',)的频次-----40
('纳丁·戈迪默',)的频次-----1
('美术馆',)的频次-----10
('大英博物馆',)的频次-----2
('国家美术馆',)的频次-----1
('额外',)的频次-----14
('２·９亿英镑',)的频次-----1
('４·７８亿美元',)的频次-----1
('伦敦国家美术馆',)的频次-----1
('画廊',)的频次-----10
('秋叶原',)的频次-----2
('特设',)的频次-----6
('日文',)的频次-----5
('零时',)的频次-----9
('白俄罗斯鲍里索夫装甲车辆维修厂',)的频次-----1
('拆卸',)的频次-----2
('交易所',)的频次-----41
('旧金山',)的频次-----11
('芝加哥期权交易所',)的频次-----4
('首席执行官',)的频次-----18
('威廉·布罗德斯基',)的频次-----1
('１７００多种',)的频次-----1
('４０种',)的频次-----3
('指数',)的频次-----132
('期权',)的频次-----9
('道—琼斯',)的频次-----25
('３０种',)的频次-----14
('标准普尔',)的频次-----3
('５００种',)的频次-----4
('１９５７年',)的频次-----13
('太平洋期权交易所',)的频次-----2
('有价证券',)的频次-----9
('１００万份',)的频次-----2
('太平洋期权交易所董事会',)的频次-----1
('原则上',)的频次-----16
('克隆',)的频次-----83
('哺乳动物',)的频次-----2
('抗病',)的频次-----5
('卵细胞',)的频次-----18
('火奴鲁鲁',)的频次-----5
('鼠',)的频次-----54
('细胞核',)的频次-----8
('多利',)的频次-----39
('１至６小时',)的频次-----1
('延时',)的频次-----2
('混入',)的频次-----11
('细胞质',)的频次-----2
('尽可能',)的频次-----48
('氯化',)的频次-----3
('锶',)的频次-----4
('基因',)的频次-----163
('微量',)的频次-----2
('黑鼠',)的频次-----2
('植入',)的频次-----13
('子宫',)的频次-----13
('棕色',)的频次-----4
('檀香山',)的频次-----9
('夏威夷',)的频次-----11
('地名',)的频次-----11
('国际科研小组',)的频次-----1
('３代',)的频次-----1
('５０多只',)的频次-----3
('本月５日',)的频次-----6
('石川县畜产综合中心',)的频次-----4
('近畿大学畜产学研究室',)的频次-----2
('成年',)的频次-----26
('体细胞',)的频次-----13
('妊娠',)的频次-----12
('流产',)的频次-----7
('８头',)的频次-----4
('孕',)的频次-----22
('畜产研究所',)的频次-----1
('肉牛改良研究所',)的频次-----1
('１２头',)的频次-----1
('同年１０月',)的频次-----3
('日本农林水产省畜产研究所',)的频次-----1
('鹿儿岛县肉牛改良研究所',)的频次-----2
('剖腹产',)的频次-----6
('腹部',)的频次-----5
('贫血',)的频次-----12
('衰竭',)的频次-----5
('５７·２公斤',)的频次-----1
('ＰＰＬ公司',)的频次-----4
('英国罗斯林研究所',)的频次-----5
('纤维',)的频次-----24
('遗传物质',)的频次-----3
('插入',)的频次-----7
('胞',)的频次-----13
('歧',)的频次-----5
('酶',)的频次-----15
('奶水',)的频次-----5
('分泌',)的频次-----6
('搭桥',)的频次-----5
('器官',)的频次-----21
('抗',)的频次-----57
('氧化剂',)的频次-----1
('达西',)的频次-----1
('英国ＰＰＬ公司',)的频次-----1
('家园',)的频次-----68
('大火',)的频次-----62
('后边',)的频次-----8
('废气',)的频次-----6
('美国参院拨款委员会',)的频次-----1
('２亿美元',)的频次-----8
('参议员',)的频次-----15
('温室效应',)的频次-----4
('联合国环境规划署',)的频次-----7
('１０００万美元',)的频次-----6
('扑灭',)的频次-----27
('７５０万美元',)的频次-----2
('熊熊烈火',)的频次-----2
('杯水车薪',)的频次-----3
('久旱',)的频次-----3
('边远地区',)的频次-----17
('火势',)的频次-----9
('颓势',)的频次-----6
('烧毁',)的频次-----18
('警醒',)的频次-----8
('赤道',)的频次-----18
('恰帕斯州',)的频次-----11
('雨林',)的频次-----3
('森林资源',)的频次-----9
('二氧化碳',)的频次-----22
('种植园',)的频次-----4
('气血',)的频次-----6
('警示',)的频次-----14
('恰恰',)的频次-----37
('火种',)的频次-----11
('厄尔尼诺',)的频次-----33
('世界性',)的频次-----21
('议论纷纷',)的频次-----2
('现成',)的频次-----14
('旱季',)的频次-----2
('降雨量',)的频次-----6
('旱情',)的频次-----8
('年景',)的频次-----6
('甘露',)的频次-----4
('焦虑',)的频次-----12
('拉孔顿',)的频次-----1
('热带雨林',)的频次-----6
('烧荒',)的频次-----4
('垦',)的频次-----4
('采伐',)的频次-----9
('１２％',)的频次-----22
('亚马孙河',)的频次-----5
('沦为',)的频次-----8
('废墟',)的频次-----20
('乞力马扎罗山',)的频次-----1
('卢旺达',)的频次-----6
('野生动物',)的频次-----20
('２万平方公里',)的频次-----1
('殃及',)的频次-----11
('邻国',)的频次-----54
('３７９０平方公里',)的频次-----1
('化为乌有',)的频次-----3
('４０００多平方公里',)的频次-----1
('７０００起',)的频次-----1
('１·１万起',)的频次-----2
('中美洲',)的频次-----4
('危地马拉',)的频次-----1
('洪都拉斯',)的频次-----4
('尼加拉瓜',)的频次-----17
('５５００平方公里',)的频次-----1
('５·２万平方公里',)的频次-----1
('葬身',)的频次-----3
('火海',)的频次-----4
('哥斯达黎加',)的频次-----3
('审查批捕科',)的频次-----1
('疑难',)的频次-----17
('院党组',)的频次-----6
('朱学平',)的频次-----1
('党组',)的频次-----18
('本溪市',)的频次-----1
('平山区人民检察院',)的频次-----1
('治本',)的频次-----13
('玉（溪）元（江）一级公路',)的频次-----1
('铁十二局三处',)的频次-----1
('３００余吨',)的频次-----1
('８０多米',)的频次-----1
('总评',)的频次-----1
('微机培训班',)的频次-----1
('家底',)的频次-----8
('８６名',)的频次-----2
('嫂',)的频次-----33
('兰州军区',)的频次-----10
('生活区',)的频次-----6
('澡堂',)的频次-----1
('活动室',)的频次-----6
('工作服',)的频次-----9
('劳动竞赛',)的频次-----3
('克己奉公',)的频次-----4
('不愧',)的频次-----8
('青年突击队',)的频次-----17
('标杆',)的频次-----5
('马国平',)的频次-----4
('甲方',)的频次-----6
('突击队',)的频次-----11
('原貌',)的频次-----8
('１９９６年８月中旬',)的频次-----1
('马国平青年突出队',)的频次-----1
('东多２号楼',)的频次-----1
('泄漏',)的频次-----21
('巧干',)的频次-----4
('两栋',)的频次-----5
('去年１２月中旬',)的频次-----1
('百余户',)的频次-----1
('迁入',)的频次-----3
('１９９８年５月底',)的频次-----1
('两幢',)的频次-----1
('２万余平方米',)的频次-----1
('去年４月１１日',)的频次-----1
('打桩',)的频次-----1
('护坡',)的频次-----6
('农光里危改小区',)的频次-----1
('１３号',)的频次-----3
('１４号住宅楼',)的频次-----1
('农光里小区',)的频次-----1
('抢占',)的频次-----18
('马国平青年突击队',)的频次-----1
('北京城建集团一公司“马国平青年突击队”',)的频次-----1
('敦厚',)的频次-----1
('脸庞',)的频次-----4
('笑意',)的频次-----1
('眉宇',)的频次-----2
('钢筋混凝土',)的频次-----2
('打交道',)的频次-----13
('劳模',)的频次-----29
('经不起',)的频次-----6
('诉诸',)的频次-----9
('公堂',)的频次-----4
('鲜见',)的频次-----8
('欣欣向荣',)的频次-----4
('新寨采选厂',)的频次-----2
('面目全非',)的频次-----8
('河池公路局',)的频次-----4
('１４００多万元',)的频次-----1
('惨不忍睹',)的频次-----4
('劫',)的频次-----17
('采矿',)的频次-----9
('窿',)的频次-----1
('炸毁',)的频次-----5
('险恶',)的频次-----6
('采选厂',)的频次-----3
('一口',)的频次-----9
('办公会议',)的频次-----7
('老大哥',)的频次-----2
('再生产',)的频次-----6
('河池地区公路局',)的频次-----7
('２６万元',)的频次-----1
('石桥水库',)的频次-----1
('麻栗坡县委',)的频次-----1
('麻栗坡',)的频次-----2
('薄弱',)的频次-----50
('麻栗坡县',)的频次-----7
('新寨村',)的频次-----1
('引水',)的频次-----26
('接收站',)的频次-----7
('新寨乡',)的频次-----1
('９０',)的频次-----1
('３００',)的频次-----26
('１４３７万元',)的频次-----1
('１００多吨',)的频次-----2
('原矿',)的频次-----1
('８００多吨',)的频次-----2
('麻栗坡县新寨采选厂',)的频次-----1
('生产量',)的频次-----3
('韦文虎',)的频次-----1
('办厂',)的频次-----18
('２４００多名',)的频次-----1
('１９９３年５月',)的频次-----7
('招商引资考察团',)的频次-----1
('广西壮族自治区',)的频次-----8
('文山壮族苗族自治州',)的频次-----1
('毁于一旦',)的频次-----5
('４８７５万元',)的频次-----1
('７４９７万元',)的频次-----1
('６２０万元',)的频次-----1
('杲传勇',)的频次-----6
('淄博市商业银行',)的频次-----6
('集约化',)的频次-----16
('倍增',)的频次-----8
('磨合',)的频次-----7
('投向',)的频次-----34
('清产核资',)的频次-----4
('抵债',)的频次-----2
('支行',)的频次-----15
('８０００多万元',)的频次-----1
('３０００多万元',)的频次-----8
('１００％',)的频次-----43
('核定',)的频次-----9
('稽核',)的频次-----9
('十几项',)的频次-----3
('５４项',)的频次-----2
('２０余万',)的频次-----2
('汇编',)的频次-----8
('分片',)的频次-----5
('预警',)的频次-----9
('信贷管理委员会',)的频次-----1
('资产负债比管理委员会',)的频次-----1
('稽核监督委员会',)的频次-----1
('经营管理综合考核委员会',)的频次-----1
('各行其是',)的频次-----3
('信用社',)的频次-----21
('步调一致',)的频次-----2
('市联社',)的频次-----1
('隶属',)的频次-----11
('２０余家',)的频次-----4
('归口',)的频次-----1
('淄博城市信用社',)的频次-----1
('淄博市城市信用社',)的频次-----1
('淄博商业银行',)的频次-----1
('淄博',)的频次-----7
('佼佼者',)的频次-----14
('行家',)的频次-----10
('选项',)的频次-----1
('一到两月',)的频次-----1
('市劳动和社会保障局',)的频次-----2
('花绍增',)的频次-----1
('８万',)的频次-----7
('苦于',)的频次-----8
('任劳任怨',)的频次-----4
('组装',)的频次-----17
('１５０至１６０个',)的频次-----1
('六七百元',)的频次-----3
('天津红旗农场淀粉厂',)的频次-----1
('“福地”基地',)的频次-----1
('接纳',)的频次-----28
('中环电子机电元件公司',)的频次-----1
('张洋',)的频次-----1
('己任',)的频次-----19
('１２０万元',)的频次-----7
('给以',)的频次-----8
('２６０',)的频次-----1
('天津中环电子机电元件公司',)的频次-----1
('１０００多平方米',)的频次-----2
('１５０名',)的频次-----8
('流水线',)的频次-----8
('“福地”再就业基地',)的频次-----2
('天津电子仪表工业总公司',)的频次-----1
('３８岁',)的频次-----8
('刘菊华',)的频次-----2
('天津无线电元件四厂',)的频次-----1
('走街串巷',)的频次-----6
('瓶子',)的频次-----6
('怀揣',)的频次-----5
('劳动法',)的频次-----11
('能动性',)的频次-----1
('职代会',)的频次-----2
('生气',)的频次-----13
('超时',)的频次-----3
('加班',)的频次-----9
('侮辱',)的频次-----5
('有心',)的频次-----7
('跳槽',)的频次-----7
('望而却步',)的频次-----8
('劳保',)的频次-----2
('八小时',)的频次-----1
('团组织',)的频次-----31
('工会',)的频次-----85
('高薪',)的频次-----11
('安全感',)的频次-----7
('辉映',)的频次-----6
('割断',)的频次-----6
('浅析',)的频次-----2
('“四方”集团',)的频次-----3
('期末',)的频次-----3
('１０００万',)的频次-----9
('拧成一股绳',)的频次-----4
('齐心合力',)的频次-----2
('四方',)的频次-----35
('尽心尽力',)的频次-----10
('合理化建议',)的频次-----7
('成百上千',)的频次-----8
('小轿车',)的频次-----10
('零配件',)的频次-----9
('当面锣对面鼓',)的频次-----1
('畅所欲言',)的频次-----4
('敲定',)的频次-----4
('发自',)的频次-----12
('艺术团',)的频次-----9
('４００多套',)的频次-----1
('氯化铵',)的频次-----1
('氰',)的频次-----9
('胺',)的频次-----9
('星火',)的频次-----41
('程家华',)的频次-----7
('周折',)的频次-----13
('磷酸钠',)的频次-----1
('获益匪浅',)的频次-----2
('有意识',)的频次-----11
('７００名',)的频次-----3
('三四十名',)的频次-----1
('自己人',)的频次-----7
('倦怠',)的频次-----4
('逆境',)的频次-----8
('全厂',)的频次-----24
('主席台',)的频次-----9
('１９９２年春节',)的频次-----1
('身受',)的频次-----1
('危在旦夕',)的频次-----2
('久病',)的频次-----2
('奄奄一息',)的频次-----4
('北上',)的频次-----12
('搁浅',)的频次-----3
('点火',)的频次-----10
('航',)的频次-----9
('整装待发',)的频次-----1
('本色',)的频次-----29
('合心',)的频次-----1
('合力',)的频次-----23
('得名',)的频次-----9
('风帆',)的频次-----3
('合肥化肥厂',)的频次-----1
('贸',)的频次-----24
('３．４亿元',)的频次-----1
('２５年',)的频次-----19
('多变',)的频次-----13
('风雨飘摇',)的频次-----5
('亏损额',)的频次-----6
('“四方”化工集团有限公司',)的频次-----1
('安徽省合肥化肥厂',)的频次-----1
('深切',)的频次-----39
('万不得已',)的频次-----3
('环卫车辆厂',)的频次-----1
('３００名',)的频次-----7
('四方集团',)的频次-----2
('特稿',)的频次-----1
('引诱',)的频次-----6
('妓女',)的频次-----3
('暴利',)的频次-----6
('破获',)的频次-----34
('拐卖',)的频次-----2
('捷克警察局',)的频次-----1
('新闻发言人',)的频次-----10
('伊·苏特内尔',)的频次-----1
('代号',)的频次-----17
('伊斯坦布尔',)的频次-----6
('斯特拉斯堡',)的频次-----3
('米卢兹',)的频次-----1
('尼斯',)的频次-----3
('首犯',)的频次-----1
('一网打尽',)的频次-----3
('作案',)的频次-----16
('解救',)的频次-----8
('数名',)的频次-----5
('缴获',)的频次-----33
('毒品',)的频次-----330
('布拉格',)的频次-----3
('逼良为娼',)的频次-----1
('捉拿归案',)的频次-----3
('三合一',)的频次-----4
('鸡尾酒',)的频次-----1
('疗法',)的频次-----42
('休眠',)的频次-----2
('ＣＤ４Ｔ',)的频次-----1
('美国过敏反应和传染性疾病研究所',)的频次-----1
('１０名',)的频次-----39
('宇宙射线',)的频次-----4
('反质子',)的频次-----13
('１９９３',)的频次-----1
('１９９４',)的频次-----4
('１９９５',)的频次-----3
('２个',)的频次-----8
('４２０个',)的频次-----1
('磁',)的频次-----47
('谱',)的频次-----48
('东京大学理学部',)的频次-----1
('折户周治',)的频次-----1
('２吨',)的频次-----6
('超导',)的频次-----41
('３．６万米',)的频次-----1
('２０个小时',)的频次-----2
('１亿个',)的频次-----4
('质子',)的频次-----5
('反粒子',)的频次-----2
('揭示',)的频次-----82
('朝日新闻',)的频次-----3
('东京大学',)的频次-----5
('日本高能加速器研究所',)的频次-----1
('美国航天局',)的频次-----1
('大气层',)的频次-----15
('银河系',)的频次-----17
('高能',)的频次-----3
('星际',)的频次-----7
('生成',)的频次-----13
('４７１个',)的频次-----1
('贩毒',)的频次-----89
('黑钱',)的频次-----5
('２００公斤',)的频次-----2
('可卡因',)的频次-----17
('１４名',)的频次-----10
('嫌疑',)的频次-----45
('今年初',)的频次-----45
('温哥华海关',)的频次-----1
('９１２０万加元',)的频次-----1
('４５５公斤',)的频次-----1
('海洛因',)的频次-----28
('安大略省海关',)的频次-----1
('入境',)的频次-----19
('１８７公斤',)的频次-----1
('大麻',)的频次-----12
('２８０多万加元',)的频次-----1
('加海关',)的频次-----2
('４６００',)的频次-----1
('５．２亿加元',)的频次-----1
('加拿大海关',)的频次-----2
('皇家骑警',)的频次-----1
('国税部',)的频次-----1
('守法',)的频次-----5
('式样',)的频次-----2
('人手',)的频次-----7
('出入境',)的频次-----10
('１０００万个',)的频次-----2
('集装箱',)的频次-----14
('关卡',)的频次-----6
('抽样',)的频次-----18
('漏网之鱼',)的频次-----1
('科诺利',)的频次-----4
('缉私',)的频次-----50
('要害',)的频次-----8
('海运',)的频次-----11
('海路',)的频次-----6
('挖空',)的频次-----1
('里应外合',)的频次-----2
('发运',)的频次-----3
('同党',)的频次-----1
('违禁品',)的频次-----3
('内奸',)的频次-----1
('无孔不入',)的频次-----1
('登陆',)的频次-----12
('形迹',)的频次-----3
('可疑',)的频次-----10
('搜查',)的频次-----8
('侦测',)的频次-----1
('物体',)的频次-----6
('扫描仪',)的频次-----6
('双管齐下',)的频次-----4
('无利可图',)的频次-----2
('１２４亿加元',)的频次-----1
('数十亿加元',)的频次-----1
('铤而走险',)的频次-----5
('偷运',)的频次-----12
('境',)的频次-----23
('加拿大海关情报与行动局',)的频次-----1
('马克·科诺利',)的频次-----1
('渥太华',)的频次-----10
('盘谷银行',)的频次-----2
('８９亿铢',)的频次-----1
('２５３亿铢',)的频次-----1
('１６４亿铢',)的频次-----1
('６９５亿铢',)的频次-----1
('遵照',)的频次-----16
('泰国中央银行',)的频次-----2
('５２０．３５亿铢',)的频次-----1
('国债',)的频次-----84
('评级',)的频次-----7
('７国集团',)的频次-----6
('Ａａａ',)的频次-----2
('日本大藏省',)的频次-----6
('计价',)的频次-----5
('债券',)的频次-----81
('峰值',)的频次-----4
('１４２日元',)的频次-----1
('１４１．６７日元',)的频次-----1
('１．０２日元',)的频次-----1
('穆迪',)的频次-----1
('日本开发银行',)的频次-----1
('日本输出入银行',)的频次-----1
('东京电力',)的频次-----1
('盈余',)的频次-----23
('３．０７３７万亿日元',)的频次-----1
('３７·７％',)的频次-----2
('２．０１５３万亿日元',)的频次-----1
('８９·７％',)的频次-----1
('大藏省',)的频次-----15
('不振',)的频次-----7
('１８．７０１万亿日元',)的频次-----1
('９·９％',)的频次-----1
('６．５６６７万亿日元',)的频次-----1
('三代',)的频次-----24
('英国广播公司',)的频次-----4
('威尔莫特',)的频次-----6
('本月',)的频次-----16
('卡缪丽娜',)的频次-----1
('１９９７年１０月３日',)的频次-----1
('第三代',)的频次-----15
('祖',)的频次-----5
('５０余只',)的频次-----1
('２７７次',)的频次-----1
('激活',)的频次-----9
('电信号',)的频次-----1
('抽空',)的频次-----7
('《自然》杂志',)的频次-----3
('罗斯林研究所',)的频次-----5
('乳腺',)的频次-----9
('母羊',)的频次-----7
('死去',)的频次-----8
('莱斯特大学',)的频次-----1
('杰弗里',)的频次-----1
('两份',)的频次-----6
('英国莱斯特大学',)的频次-----1
('循环系统',)的频次-----4
('脱氧核糖核酸',)的频次-----6
('取自',)的频次-----8
('驱除',)的频次-----3
('明年年初',)的频次-----1
('巴颂猜',)的频次-----2
('１４０多万',)的频次-----1
('劳工部',)的频次-----9
('３５万',)的频次-----3
('碧差汶府',)的频次-----2
('安家落户',)的频次-----9
('优惠待遇',)的频次-----5
('６００莱',)的频次-----1
('肥沃',)的频次-----6
('４莱',)的频次-----1
('１莱',)的频次-----1
('２．４亩',)的频次-----1
('１０万铢',)的频次-----1
('１０００亿铢',)的频次-----1
('劳务出口',)的频次-----1
('今年前５个月',)的频次-----3
('输出',)的频次-----27
('文莱',)的频次-----16
('４０万',)的频次-----8
('劳工部海外劳工厅',)的频次-----1
('遣返',)的频次-----16
('３０万名',)的频次-----1
('５月１日',)的频次-----17
('运输业',)的频次-----15
('９种',)的频次-----3
('雇用',)的频次-----19
('今年５月底',)的频次-----8
('１００万',)的频次-----18
('３０万',)的频次-----10
('清迈',)的频次-----2
('手工业',)的频次-----5
('伞',)的频次-----19
('扇',)的频次-----12
('木雕',)的频次-----4
('竹编',)的频次-----1
('１４万',)的频次-----4
('１００亿铢',)的频次-----1
('用以',)的频次-----21
('初等教育',)的频次-----2
('建材',)的频次-----18
('皮革',)的频次-----5
('装配',)的频次-----5
('２５０亿铢',)的频次-----3
('６．２５亿美元',)的频次-----1
('解决失业问题政策委员会',)的频次-----1
('川·立派',)的频次-----17
('内务部',)的频次-----5
('工业部',)的频次-----1
('开门见山',)的频次-----5
('１４０万',)的频次-----4
('劳工部大厦',)的频次-----1
('厅长',)的频次-----10
('巴颂猜·育瓦卫',)的频次-----1
('十二',)的频次-----2
('最惠国待遇',)的频次-----47
('美国国会',)的频次-----24
('署',)的频次-----2
('改名',)的频次-----11
('工商界',)的频次-----18
('商业圆桌协会',)的频次-----2
('众院',)的频次-----3
('经贸',)的频次-----249
('李云飞',)的频次-----14
('美国国会众议院',)的频次-----1
('４小时',)的频次-----1
('２６４票',)的频次-----1
('１６６票',)的频次-----1
('上月',)的频次-----17
('斯洛伐克',)的频次-----38
('抗洪救灾',)的频次-----39
('丧生',)的频次-----23
('３５００',)的频次-----4
('２亿多克朗',)的频次-----1
('３２克朗',)的频次-----1
('普雷绍夫',)的频次-----1
('萨比诺夫',)的频次-----1
('暴发',)的频次-----4
('不遇',)的频次-----5
('弗雷',)的频次-----2
('二十九位',)的频次-----1
('大饼',)的频次-----9
('詹祖里',)的频次-----4
('瓦利',)的频次-----2
('赞同',)的频次-----22
('西奈半岛',)的频次-----14
('新河谷',)的频次-----5
('和平渠',)的频次-----2
('图什卡',)的频次-----1
('西奈',)的频次-----4
('可耕地',)的频次-----5
('１００万费丹',)的频次-----1
('１０万费丹',)的频次-----1
('季',)的频次-----34
('３０００吨',)的频次-----3
('９５００吨',)的频次-----1
('６．３亩',)的频次-----4
('１１吨',)的频次-----1
('２７吨',)的频次-----1
('１．８万吨',)的频次-----1
('磨粉',)的频次-----4
('香味',)的频次-----11
('维他命',)的频次-----2
('矿物质',)的频次-----5
('玉米油',)的频次-----1
('１３％',)的频次-----16
('１．５％',)的频次-----9
('埃及农业部',)的频次-----3
('社会保障部',)的频次-----2
('２００万吨',)的频次-----3
('１０亿埃镑',)的频次-----2
('３０多亿埃镑',)的频次-----1
('１５亿埃镑',)的频次-----1
('换言之',)的频次-----10
('１１００多万吨',)的频次-----1
('５００多万吨',)的频次-----1
('消费量',)的频次-----11
('今年夏季',)的频次-----3
('６１０万吨',)的频次-----2
('３０万吨',)的频次-----10
('发面',)的频次-----1
('８０克',)的频次-----1
('５个皮亚斯特',)的频次-----1
('０．１２５元',)的频次-----1
('百十来埃镑',)的频次-----1
('几十埃镑',)的频次-----1
('１埃镑',)的频次-----1
('１００皮亚斯特',)的频次-----1
('阿拉伯',)的频次-----90
('富人',)的频次-----6
('太阳系',)的频次-----11
('行星',)的频次-----18
('南极',)的频次-----11
('冰雪',)的频次-----13
('木星',)的频次-----9
('木卫２',)的频次-----2
('陨石',)的频次-----10
('星球',)的频次-----22
('美国宇航局总部',)的频次-----1
('美国加州宇航局艾姆斯研究中心',)的频次-----1
('讨论会',)的频次-----24
('骗局',)的频次-----2
('潜行',)的频次-----1
('炮制',)的频次-----8
('风景画',)的频次-----11
('恶作剧',)的频次-----2
('沃明斯特',)的频次-----1
('万篇',)的频次-----1
('目击',)的频次-----11
('倒伏',)的频次-----2
('圆圈',)的频次-----3
